imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,ORB,SIFT,0.00840546,0.0362279,102,67,0.0446334
2,ORB,SIFT,0.0101046,0.0390226,106,79,0.0491272
3,ORB,SIFT,0.0089893,0.0383521,113,78,0.0473414
4,ORB,SIFT,0.00913436,0.0356945,109,79,0.0448289
5,ORB,SIFT,0.00957139,0.037365,125,82,0.0469364
6,ORB,SIFT,0.00976679,0.039505,130,95,0.0492718
7,ORB,SIFT,0.0101281,0.0455109,129,95,0.055639
8,ORB,SIFT,0.00928962,0.0430878,127,94,0.0523774
9,ORB,SIFT,0.0100194,0.0397541,128,94,0.0497735
,,,,,,,0.0446334
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,AKAZE,SIFT,0.0702684,0.0238028,157,134,0.0940712
2,AKAZE,SIFT,0.069631,0.0254368,161,134,0.0950678
3,AKAZE,SIFT,0.067327,0.0248442,155,130,0.0921712
4,AKAZE,SIFT,0.067195,0.0250623,163,136,0.0922573
5,AKAZE,SIFT,0.0633111,0.025273,164,137,0.0885842
6,AKAZE,SIFT,0.0667499,0.0249501,173,147,0.0917
7,AKAZE,SIFT,0.0637166,0.0257499,175,147,0.0894666
8,AKAZE,SIFT,0.0652019,0.0264708,177,154,0.0916727
9,AKAZE,SIFT,0.0701207,0.0259515,179,151,0.0960722
,,,,,,,0.0885842
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,SIFT,SIFT,0.0997683,0.082225,132,82,0.181993
2,SIFT,SIFT,0.0997895,0.0800559,124,81,0.179845
3,SIFT,SIFT,0.0986766,0.0811895,137,85,0.179866
4,SIFT,SIFT,0.0995981,0.0806296,134,93,0.180228
5,SIFT,SIFT,0.0940779,0.0802824,140,90,0.17436
6,SIFT,SIFT,0.0946376,0.0766807,137,81,0.171318
7,SIFT,SIFT,0.095559,0.0766169,148,82,0.172176
8,SIFT,SIFT,0.0960168,0.0775602,159,102,0.173577
9,SIFT,SIFT,0.0941893,0.0770293,137,104,0.171219
,,,,,,,0.171219
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime,
1,SIFT,SIFT,0.101731,0.0785275,132,82,0.180258,
2,SIFT,SIFT,0.0977121,0.0817163,124,81,0.179428,
3,SIFT,SIFT,0.10136,0.0809705,137,85,0.18233,
4,SIFT,SIFT,0.11448,0.0845293,134,93,0.19901,
5,SIFT,SIFT,0.101768,0.0823872,140,90,0.184155,
6,SIFT,SIFT,0.0991484,0.0806707,137,81,0.179819,
7,SIFT,SIFT,0.102658,0.0810284,148,82,0.183686,
8,SIFT,SIFT,0.106937,0.0802991,159,102,0.187236,
9,SIFT,SIFT,0.103802,0.0821145,137,104,0.185917,
